id,source_recipe_code,food_code_org,food_name,amount,unit
0b080d8c-76e7-4a23-b98c-16c0786765b0,ASC327,UK-11-1145,"Bread, white, average",30,g
0b157a20-9912-46e2-81df-ec305d59b2d4,OSR038,UK-17-377,"Water, distilled",1,tbsp
0b19d697-afef-4fef-90e0-a34fc7e77044,ASC139,UK-17-045,"Oil, sunflower",1,tbsp
0b2947cb-0074-4e31-96b9-851d2db49591,ASC313,US-173471,Vanilla extract,0.25,tsp
0b30edcd-ab52-4200-af59-8e531a4b5cf6,ASC365,UK-17-367,Salt,0.5,tsp
0b3c4777-0c7c-43eb-abc8-7155ce5380ac,BFP359,UK-17-377,"Water, distilled",1,tsp
0b407f29-253e-4aed-a68e-7d58ea99811a,BFP279,US-172337,"Oil, mustard",2,tsp
0b40d558-862f-42cc-95ea-cec148bec6e5,ASC381,UK-13-829,Garam masala,0.25,tsp
0b66b572-e2cf-4a84-8564-04c6d748a825,ASC172,UK-13-873,Chilli powder,0.25,tsp
0b692fa2-0558-4e10-8dc0-36b5f597c817,ASC142,A018,"Wheat flour, refined (Triticum aestivum)",100,g
0b6c98b6-61b3-471b-9d6d-8a2ad9fee540,BFP197,G014,"Ginger, fresh (Zingiber officinale)",5,g
0b6fa663-271e-44b5-9c0d-acd62ae22eb3,OSR151,G026,Fenugreek seeds (Trigonella foenum graecum),0.25,tsp
0b745b86-60bd-482e-bac4-309d012ba4fe,ASC424,M003,"Egg, poultry, yolk, raw",48,g
0b796e07-3c30-4592-850f-5d9e2c8a96d7,ASC117,UK-13-580,"Beansprouts, mung, boiled in unsalted water",50,g
0b7bddb9-88b3-4b71-9ba5-efdf65418a78,ASC055,UK-17-063,"Sugar, white",2,tsp
0b7dc18e-02f5-4997-b977-01f50f373b69,ASC268,UK-50-1173,"Tomato sauce, homemade",1,tsp
0b9cc30b-c07a-469a-b17d-a363cdee55b7,ASC060,UK-12-527,"Cheese, processed, plain",15,g
0b9d4e65-9a29-46c1-b57b-661b13185769,ASC047,UK-17-063,"Sugar, white",2,tsp
0ba4c0a7-a889-42ca-a824-a4d4133c1726,ASC067,UK-17-367,Salt,0.25,tsp
0ba86e96-48ae-4aaf-99a8-1002ae570407,BFP039,G017,"Onion, big (Allium cepa)",30,g
0bbd3840-3f9b-4c5b-97e5-df2a73ebc26e,OSR112,G031,"Pepper, black (Piper nigrum)",0.25,tbsp
0bbd58e8-19aa-4172-b8ba-0e0d2af74723,ASC456,UK-17-045,"Oil, sunflower",2,C
0bc2f592-cc9c-448a-b94d-5b122d3efc01,ASC313,UK-12-332,"Cream, fresh, single",80,g
0bc9cac6-ac33-42b7-9ede-2187afd43773,ASC426,ANN-ING-0016,Syrawberry flavour,0.25,tsp
0bcbaa67-1223-4731-8ac3-6f554c01ea86,ASC228,G031,"Pepper, black (Piper nigrum)",0.5,tsp
0bce2d17-5497-4ec4-b677-e17a75d3a07c,BFP573,UK-17-367,Salt,0.25,tsp
0bdd7db9-1bac-42cb-9e5d-71cc137e2070,BFP451,G016,Mint leaves (Mentha spicata ),10,g
0be3c4ae-40c1-4249-a8e9-78eefb11b77f,ASC223,G023,Cloves (Syzygium aromaticum),0.25,tsp
0bea445f-b431-4127-9c78-1d50044af848,OSR108,G031,"Pepper, black (Piper nigrum)",0.3,tsp
0bf799a2-0166-4bbe-b9e8-2c5205d6505d,OSR009,UK-14-820,Coconut milk,100,ml
0c099189-7785-4d30-88cf-ca03732f638f,ASC218,D075,"Tomato, ripe, hybrid (Solanum lycopersicum)",50,g
0c0d0e86-c330-41bd-bf0b-1c9d0b4cf7c1,BFP565,I001,"Jaggery, cane (Saccharum officinarum)",30,g
0c12e2c3-e39c-4dba-9329-e22510a56d99,BFP066,F002,"Carrot, orange (Daucus carota)",150,g
0c1f8314-3fac-476f-8783-d6339ec47759,ASC512,UK-17-367,Salt,10,g
0c2607e4-ede3-49bf-ba45-5d8250fd304d,ASC282,E057,"Raisins, dried, black (Vitis vinifera)",1.5,g
0c29b431-489a-4967-bc70-56fc0de83ca3,BFP415,UK-17-367,Salt,0.25,tsp
0c334c74-f4ff-4733-ad55-0e141a767a72,OSR077,UK-17-367,Salt,0.5,tsp
0c3f8b01-a93b-44eb-8e0c-94599e31bf6f,BFP066,UK-13-806,"Bay leaf, dried",0.4,g
0c415534-4aa4-4628-ab78-93326904a589,BFP108,UK-17-045,"Oil, sunflower",15,g
0c43535e-6141-4cbf-ad67-bfe458a09427,ASC224,UK-50-1173,"Tomato sauce, homemade",1,tbsp
0c44ff4b-d053-4c2d-9aa3-585d63644eb8,BFP278,G012,"Garlic, small clove (Allium sativum)",0.25,tsp
0c4f9624-1238-4076-9139-939aba27b7b1,ASC385,G008,"Chillies, green - all varieties (Capsicum annum)",3.33,g
0c5546bf-3ae3-4f3b-b668-e7e473c6e656,OSR025,H001,Almond (Prunus amygdalus),0.14,g
0c56620d-1838-411b-9df8-4964fc61a0d6,BFP352,UK-17-063,"Sugar, white",30,g
0c56b464-2f38-40be-bdea-523491f2d0d6,OSR096,US-806241,HIMALAYAN BLACK SALT,0.5,tsp
0c582b48-8112-4553-b859-8ae0e6344d68,OSR080,G012,"Garlic, small clove (Allium sativum)",11.25,g
0c6d6ffa-6f62-42bf-aa43-a5a53425ab16,BFP249,UK-12-332,"Cream, fresh, single",1,tbsp
